11:47:49.749 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB abi open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.754 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB code open success with writeBufferSize 64 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.760 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB contract open success with writeBufferSize 64 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.766 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB contract-state open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.771 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB DelegatedResource open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.777 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB DelegatedResourceAccountIndex open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.782 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB storage-row open success with writeBufferSize 64 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.858 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB nullifier open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.863 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB zkProof open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.868 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB IncrementalMerkleTree open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.873 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB common open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.877 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB trans open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.883 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB transactionRetStore open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.888 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB recent-block open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.893 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB transactionHistoryStore open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.898 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB common-database open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.902 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB pbft-sign-data open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.907 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB tree-block-index open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.913 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB section-bloom open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:49.951 INFO  [main] [DB](SnapshotManager.java:511) checkpoint v1 recover success
11:47:49.951 INFO  [main] [DB](TxCacheDB.java:287) txCache init optimization is disabled, skip fast recovery mode.
11:47:49.952 INFO  [main] [DB](TxCacheDB.java:288) If you want fast recovery mode, please set `storage.txCache.initOptimization = true` in config.conf.
11:47:49.957 INFO  [main] [DB](TxCacheDB.java:152) Load cache from persistentStore, db: 0, filter: 0, filter-fpp: 0.0, cost: 3 ms.
11:47:49.958 INFO  [main] [DB](TxCacheDB.java:180) Load cache from recentTransactionStore, filter: 0, filter-fpp: 0.0, cost: 1 ms.
11:47:50.081 INFO  [main] [DB](Manager.java:594) Create genesis block.
11:47:50.081 INFO  [main] [DB](Manager.java:600) Save block: BlockCapsule 
[ hash=00000000000000001ebf88508a03865c71d452e25f4d51194196a1d22b6653dc
number=0
parentId=e58f33f9baf9305dc6f82b9f1934ea8f0ade2defb951258d50167028c780351f
witness address=41206e65772073797374656d206d75737420616c6c6f77206578697374696e672073797374656d7320746f206265206c696e6b656420746f67657468657220776974686f757420726571756972696e6720616e792063656e7472616c20636f6e74726f6c206f7220636f6f7264696e6174696f6e
generated by myself=true
generate time=1970-01-01 00:00:00.0
account root=0000000000000000000000000000000000000000000000000000000000000000
merkle root=8ef446bf3f395af929c218014f6101ec86576c5f61b2ae3236bf3a2ab5e2fecd
txs size=3
]
11:47:50.082 INFO  [main] [DB](DynamicPropertiesStore.java:2184) Update latest block header number = 0.
11:47:50.083 INFO  [main] [DB](DynamicPropertiesStore.java:2192) Update latest block header id = 00000000000000001ebf88508a03865c71d452e25f4d51194196a1d22b6653dc.
11:47:50.083 INFO  [main] [DB](DynamicPropertiesStore.java:2176) Update latest block header timestamp = 0.
11:47:50.153 INFO  [main] [DB](AssetUpdateHelper.java:36) Start to update the asset
11:47:50.159 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB asset-issue-v2 open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
